division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
Middle Atlantic,2011-10-01,137219.28640736116,190.31,8.8,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-11-01,137065.14322059212,188.315,8.6,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2011-12-01,136883.14738576434,188.535,8.5,24935546.0,59667.32878385739,34.500593357771265,15349107.0,50494.0,5.709410537438747
Middle Atlantic,2012-01-01,137030.88155519214,189.465,8.3,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-02-01,137190.70079315302,187.395,8.3,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-03-01,137671.30739629778,189.5,8.2,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-04-01,139051.9984068652,189.515,8.2,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-05-01,138552.39559698678,191.125,8.2,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-06-01,138718.59557921893,192.07999999999998,8.2,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-07-01,138866.19384131196,191.57999999999998,8.2,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-08-01,138780.57094675853,191.615,8.1,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-09-01,138783.42703024732,192.52499999999998,7.8,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-10-01,138755.80333918947,189.935,7.8,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-11-01,138801.02988650854,191.56,7.7,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2012-12-01,137998.20630388643,191.61,7.9,25102227.0,61327.700333082,35.38952941505947,15377407.0,61607.0,5.624101994673183
Middle Atlantic,2013-01-01,138091.86958201023,190.27,8.0,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-02-01,138242.67196234365,191.615,7.7,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-03-01,138644.11115741995,192.51,7.5,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-04-01,139097.6586841634,194.09,7.6,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-05-01,139679.69036730513,195.63,7.5,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-06-01,140138.65882495936,196.88,7.5,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-07-01,140370.97391980255,197.83499999999998,7.3,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-08-01,140497.05055861254,197.095,7.2,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-09-01,140491.68561408363,196.55,7.2,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-10-01,140650.43817087635,196.815,7.2,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-11-01,140755.40761930117,196.735,6.9,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2013-12-01,140847.19485796528,195.12,6.7,25232421.0,62729.827569538415,36.10442233822906,15379588.0,78440.0,5.471110041246249
Middle Atlantic,2014-01-01,141042.31062450714,195.735,6.6,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-02-01,141354.75584243727,194.61,6.7,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-03-01,141260.68928761757,195.38,6.7,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
Middle Atlantic,2014-04-01,142029.78560575278,197.035,6.2,25391999.0,64208.19563430197,36.51477696182959,15401762.0,89543.0,5.349322150459089
